PLANO,MES,ANO,1,2.01,2.02,2.03,2.03.01,2.03.01.01,2.03.01.01.01,2.03.01.01.01.01,2.03.01.01.01.02,2.03.01.01.02,2.03.01.01.02.01,2.03.01.01.02.02,2.03.01.01.02.03,2.03.01.01.03,2.03.02.01,3.01,3.02,3.05,solvencia_seca,solvencia_gerencial,solvencia_liquida,resultado_operacional,maturiade_atuarial,solvencia_financeira,risco_legal,provisoes_cd,passivo_integralizar,provisoes_bd,resultado,prov_concedidos_cd,prov_conceder_cd,prov_concedidos_bd,prov_conceder_bd,competencia
BD-01,12,2022,2688507078.2,-6957127.3,-1229339.75,-2680320611.15,-2602296190.31,-2691278984.72,-2249391993.39,0.0,-2249391993.39,-615745185.88,0.0,-600671064.29,-15074121.59,173858194.55,0.0,-84517881.93,213062832.59,-276574488.09,0.9669366145556784,0.9669366145556784,0.9023360303958432,0.39668055147205816,0.27373849808722156,1.694769405017981,0.0004586539926925189,-0.0,0.06460058415983513,0.9353994158401648,-88982794.40999985,0.0,0.0,-2249391993.39,-615745185.88,2022-12-01
BD-01,10,2023,2828104070.41,-19496081.38,-1767055.58,-2806840933.45,-2726260284.04,-2758763458.69,-2502786319.52,0.0,-2502786319.52,-431561970.5,0.0,-420641253.42,-10920717.08,175584831.33,0.0,-74883828.97,195430157.39,-246035665.22,0.98821820894154,0.98821820894154,0.9245720015159217,0.3831743778446742,0.17243260726419812,1.642118588430412,0.0006295531602597949,-0.0,0.06364620742561834,0.9363537925743817,-32503174.650000095,0.0,0.0,-2502786319.52,-431561970.5,2023-10-01
BD-01,11,2023,2852472367.07,-21043506.09,-1776734.63,-2829652126.35,-2747927487.09,-2764351751.92,-2504960745.41,0.0,-2504960745.41,-435026789.99,0.0,-424024000.62,-11002789.37,175635783.48,0.0,-82324494.14,215327857.27,-280308984.55,0.9940585474266824,0.9940585474266824,0.9305225725428744,0.38232161497234035,0.17366611065148524,1.6840992302974211,0.0006278986075549257,-0.0,0.06353597488380808,0.936464025116192,-16424264.829999924,0.0,0.0,-2504960745.41,-435026789.99,2023-11-01
BD-01,12,2021,2539079027.7,-5833183.45,-2648756.42,-2530597087.83,-2456051524.41,-2582742425.31,-2167597406.38,0.0,-2167597406.38,-582800082.57,0.0,-568492548.89,-14307533.68,167655063.64,0.0,-76860695.88,182491622.13,-238577076.06,0.9509471406600704,0.9509471406600704,0.8860335581064882,0.42117383243624956,0.2688691547861309,1.728505496626548,0.0010466922738266969,-0.0,0.06491358255358227,0.9350864174464177,-126690900.9000001,0.0,0.0,-2167597406.38,-582800082.5699999,2021-12-01
CD-02,1,2022,77993243.56,-369125.52,0.0,-77624118.04,-76178928.89,-76178928.89,-18479175.83,-18479175.83,0.0,-57699753.06,-57699753.06,0.0,0.0,0.0,-853905.88,-334919.22,1462682.88,-275444.28,1.0112092135245563,1.0,1.0,0.228975962308385,3.1224202632634404,0.4172903835450648,-0.0,1.0,0.0,0.0,0.0,-18479175.83,-57699753.06,0.0,0.0,2022-01-01
CD-02,1,2023,78191193.8,-140496.6,0.0,-78050697.2,-76694010.4,-76694010.4,-10478644.07,-10478644.07,0.0,-66215366.33,-66215366.33,0.0,0.0,0.0,-982685.66,-347094.04,526495.76,-789292.67,1.0128130691676542,1.0,1.0,0.6592532483072607,6.319077724910261,2.158396698199431,-0.0,1.0,0.0,0.0,0.0,-10478644.07,-66215366.33,0.0,0.0,2023-01-01
CD-02,2,2022,77758156.27,-283252.52,0.0,-77474903.75,-76037272.07,-76037272.07,-17922475.07,-17922475.07,0.0,-58114797.0,-58114797.0,0.0,0.0,0.0,-861548.41,-676477.57,2593846.67,-941192.02,1.0113306065110654,1.0,1.0,0.2608009092534371,3.2425653696278234,0.6236565980208845,-0.0,1.0,0.0,0.0,0.0,-17922475.07,-58114797.0,0.0,0.0,2022-02-01
CD-02,2,2023,79083874.41,-112028.84,0.0,-78971845.57,-77612078.41,-77612078.41,-10185194.52,-10185194.52,0.0,-67426883.89,-67426883.89,0.0,0.0,0.0,-1000031.5,-687832.84,947994.69,-1806747.26,1.012884998320972,1.0,1.0,0.7255661315993236,6.620087987283723,2.6314283469246016,-0.0,1.0,0.0,0.0,0.0,-10185194.52,-67426883.89,0.0,0.0,2023-02-01
CD-02,3,2022,78748921.21,-282809.21,0.0,-78466112.0,-77016622.52,-77016622.52,-17192917.87,-17192917.87,0.0,-59823704.65,-59823704.65,0.0,0.0,0.0,-882043.85,-1012931.67,3722905.03,-2743690.48,1.0114526425742825,1.0,1.0,0.2720809856382504,3.4795550762437273,1.0090566693827268,-0.0,1.0,0.0,0.0,0.0,-17192917.87,-59823704.65,0.0,0.0,2022-03-01
CD-02,3,2023,80252583.4,-112143.05,0.0,-80140440.35,-78770489.72,-78770489.72,-9954705.36,-9954705.36,0.0,-68815784.36,-68815784.36,0.0,0.0,0.0,-1018893.96,-1018832.06,1371505.25,-3073704.51,1.0129349704898596,1.0,1.0,0.7428568428739154,6.912890122947848,2.9839744105974075,-0.0,1.0,0.0,0.0,0.0,-9954705.36,-68815784.36,0.0,0.0,2023-03-01
CD-02,4,2021,79405532.48,-210010.39,0.0,-79195522.09,-77801598.16,-77801598.16,-8089773.25,-8089773.25,0.0,-69711824.91,-69711824.91,0.0,0.0,0.0,-697455.74,-1849945.23,2943354.21,-564759.43,1.0089645425864604,1.0,1.0,0.6285160052143367,8.617277982420582,0.8203921402990094,-0.0,1.0,0.0,0.0,0.0,-8089773.25,-69711824.91,0.0,0.0,2021-04-01
